id,raw_text,translation,expected_external_code,name_ru,name_az,source
С110,Bakıdakı abratni klapan,Обратный клапан,YA-009,Обратный клапан топлива,Geri qaytarma klapanı (obratka),подтверждено вручную
С112,arxa  baqajın aynası,Стекло задней двери багажника,KZ-012,Заднее стекло,Arxa şüşə,подтверждено вручную
С113,sağ tərəf arxa ayna,Правое заднее стекло,KZ-012,Заднее стекло,Arxa şüşə,подтверждено вручную
С115,Şüşə qaldıran blokunun zbor knofkaları,Кнопки блока стеклоподъёмников в сборе,EL-003,Кнопка/блок стеклоподъёмника,Şüşəqaldıran düyməsi/blok,подтверждено вручную
С116,Qabag sag patkrelnik,Передний правый подкрылок,KZ-029,Подкрылок (локер),Podkrilnik,подтверждено вручную
С117,Qapı kilidi mühərrikinin motoru (vakuum motoru),Мотор замка двери (вакуумный мотор),EL-041,Моторчик замка двери (привод ЦЗ),Qapı kilid mühərriyi,поправлено при второй проверке
С118,Qlavni silindir tormozu,Главный тормозной цилиндр,EY-007,Главный тормозной цилиндр,Qlavnı silindir,подтверждено вручную
С119,Lupali Led H7,Линзованная LED H7,EL-025,Лампа,Lampa,подтверждено вручную
С120,Left side curtain airbag 1-2-3 row together,"Левая шторка безопасности, 1-2-3 ряд",EL-062,Шторка безопасности (боковая подушка),Pərdə airbag,подтверждено вручную
С121,arxa qazan,Задняя банка глушителя,EG-004,Резонатор (средняя/задняя банка),Qazan (rezonator),подтверждено вручную
С122,Radiator barmağlığı tuning üçün,Решётка радиатора для тюнинга,KZ-028,Решётка радиатора,Radiator barmaqlığı,подтверждено вручную
С123,İç qranat,Внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С124,On podpresin surucu teref kanti.(col hissedeki),Наружный молдинг лобового стекла со стороны водителя,KZ-095,Кант лобового стекла (молдинг),Ön şüşə kantı (moldinq),поправлено при второй проверке
С127,Razvalnilər,Развальные втулки / сайлентблоки,AS-013,Втулка развала,Razvalni vtulka,подтверждено вручную
С128,Elantra 2018 Limited led Stoplari,LED-стопы Elantra 2018 Limited,KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
С130,Su çəni - aynasilənin,Бачок стеклоомывателя,EL-057,Бачок омывателя стекла,Yuyucu su baçoku,подтверждено вручную
С131,vozduxamer deyirlər nə deyirlər hava datçiki lazımdı benzin hava miqdarın nizamlayan lazımdı,Расходомер воздуха,MU-033,Датчик расхода воздуха (ДМРВ),Vozduxamer (MAF sensoru),подтверждено вручную
С132,Nakaneçnik,Наконечник,SU-001,Наконечник рулевой тяги,Nakonechnik (sükan dartısı ucluğu),подтверждено вручную
С134,Orijinal ön sol Ön yarımox/ŞRUS,Оригинальная передняя левая полуось / ШРУС,AS-023,Приводной вал (полуось),Ötürücü val (yarımox),подтверждено вручную
С135,Ближние Led фары,Ближние LED-фары,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
С137,Rulavoydan ses gelir Zbor rulavoy,"Из рулевой идёт шум, нужна рулевая в сборе",SU-006,Рулевая рейка,Rulevoy reyka (dişli qutusu),подтверждено второй проверкой
С138,arxa bufer,Задний бампер,KZ-001,Бампер,Bufer,подтверждено вручную
С139,Matorun yag krisqasi qapagi,Крышка маслозаливной горловины двигателя,MU-057,Крышка маслозаливной горловины,Yağ qapağı (maslozalivnaya qapaq),подтверждено вручную
С144,Sağ iç qranat,Правый внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С145,Şin opel astra h,Шина Opel Astra H,TK-001,Шина (покрышка),Şin (təkərin rezini),подтверждено вручную
С146,Sol fara 2 lupa,"Левая фара, 2 линзы",KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
С147,Qabaq abirsofka,Передняя обшивка,KZ-003,Облицовка/накладка бампера,Bufer üzlüyü (abrisofka),подтверждено второй проверкой
С148,Qabaq sol terefin 2 parkradari,2 парктроника передней левой стороны,AK-028,Парковочные датчики,Park datçikləri,подтверждено вручную
С150,İç və çöl qranat,Внутренний и наружный ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С151,Kompressorun daçiki,Датчик компрессора,EL-020,Датчик кондиционера,Kondisioner datçiki,подтверждено вручную
С152,W203 3.2 benzin hava girish xortumu lazimdir,"W203 3.2 бензин, шланг впуска воздуха",MU-089,Патрубок воздуховода,Hava borusu (patrubok),подтверждено вручную
С153,Patpres lazımdı,Лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С154,Sevralet epica sag ic qranat,"Chevrolet Epica, правый внутренний ШРУС",AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С155,Feredo,Диск сцепления,TR-006,Диск сцепления,Feredo (mufta diski),подтверждено вручную
С156,Opel astra 1.8l benzin motor qalofkası,"Opel Astra 1.8 бензин, головка двигателя",MU-062,Головка блока цилиндров (ГБЦ),Baş (silindr blokunun başı),подтверждено вручную
С157,Benzin filter,Бензиновый фильтр,SR-010,Топливный фильтр,Benzin/Yanacaq filtri,подтверждено вручную
С158,Sağ qranat,Правый ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С159,amartizator pocevniki,Подшипник амортизатора,AS-003,Подшипник опоры амортизатора,Amortizator dayaq podşipniki,подтверждено вручную
С160,Radiator qapağı ariginal,Оригинальная крышка радиатора,SO-039,Крышка радиатора,Radiator qapağı,подтверждено вручную
С161,"Benzin nasos, filtiri ilə birlikdə",Бензонасос вместе с фильтром,YA-001,Топливный насос,Benzin nasosu (yanacaq nasosu),подтверждено вручную
С162,caşka feredo vijimnoy desti,"Корзина сцепления, диск сцепления, выжимной комплект",TR-032,Комплект сцепления,Mufta dəsti,подтверждено вручную
С163,"Baqaj obivka, sol tərəf","Обшивка багажника, левая сторона",KZ-034,Пластик обшивки багажника,Baqaj daxili plastikləri,подтверждено вручную
С164,interkuller datçiki,Датчик интеркулера,MU-075,Датчик давления наддува турбины,Turbo (nadduv) datçiki,подтверждено второй проверкой
С166,Kapmplekt lazimdi farsunka abratka slanqi plasmaslari ile bir yerde,Комплект: обратный шланг форсунок с пластиковыми деталями,YA-027,Обратка форсунок,Farsunkanın abratkası,подтверждено вручную
С168,Ön patpres,Переднее лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С169,Balkanin razvalnisi ( arxa balka ),Развальная втулка / сайлентблок задней балки,AS-025,Сайлентблок задней балки,Balka silentbloku,подтверждено вручную
С171,Ic qranat,Внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С172,Fiyaletvi patpres lazimdi,Фиолетовое лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С173,Acura sürətlər qutusu sellektoru lazımdı,Селектор коробки передач Acura,TR-015,Селектор (рычаг переключения передач),Rıçaq (sellektor),подтверждено вручную
С174,Turbo katrici,Картридж турбины,MU-091,Картридж турбины,Turbo kartrici,подтверждено вручную
С176,BMW sep basmaq,Башмак / направляющая цепи BMW,MU-061,Башмак/успокоитель цепи ГРМ,Zəncir başmağı (sep başmağı),подтверждено вручную
С177,rulavoy lazımdı elektrondu,Электронная рулевая,SU-006,Рулевая рейка,Rulevoy reyka (dişli qutusu),подтверждено второй проверкой
С178,Stabilizator qabaq qolun rezini paduşkası,Резиновая подушка переднего рычага стабилизатора,AS-012,Втулка стабилизатора,Stabilizator rezini,подтверждено вручную
С180,Salon hava filtri,Салонный фильтр,SR-004,Салонный фильтр,Salon filtri (kondisioner filtri),подтверждено вручную
С181,arxa şuşe silen,Задний стеклоочиститель,AK-010,Щётка стеклоочистителя,Şüşə silən (əl/pərdə),подтверждено вручную
С182,Rulavoy zbor prius 20 gövdə,Рулевая в сборе Prius 20 кузов,SU-006,Рулевая рейка,Rulevoy reyka (dişli qutusu),подтверждено второй проверкой
С183,Santafe tehlukesizlik yastiqi sernishin teref,Подушка безопасности Santa Fe со стороны пассажира,EL-009,Подушка безопасности,Airbag (yastıq),подтверждено вручную
С184,Hundai elantra qazan,Банка глушителя Hyundai Elantra,EG-004,Резонатор (средняя/задняя банка),Qazan (rezonator),подтверждено вручную
С185,Rlavoy,Рулевая,SU-006,Рулевая рейка,Rulevoy reyka (dişli qutusu),подтверждено второй проверкой
С187,radiatordan termostat krişkasına gedən 2 ədəd patrubkalar,2 патрубка от радиатора к крышке термостата,SO-009,Патрубок системы охлаждения,"Soyutma şlanqı (su, antifriz)",подтверждено вручную
С188,Turbo daçiki,Датчик турбины,MU-075,Датчик давления наддува турбины,Turbo (nadduv) datçiki,подтверждено второй проверкой
С189,Salon filtiri,Салонный фильтр,SR-004,Салонный фильтр,Salon filtri (kondisioner filtri),подтверждено вручную
С190,sağ sol iç və çöl qranat lazımdır,Правые и левые внутренние и наружные ШРУСы,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С193,Orijinal rulovoy,Оригинальная рулевая,SU-006,Рулевая рейка,Rulevoy reyka (dişli qutusu),подтверждено второй проверкой
С194,Orijinal ön sol amortizatorun üst dayağı,Оригинальная верхняя опора переднего левого амортизатора,AS-002,Опора амортизатора (верхняя),Amortizator dayaq yastığı (opora),подтверждено вручную
С195,Katalizator Dacciki Ön,Передний датчик катализатора,EG-002,Датчик катализатора / кислородный датчик (лямбда-зонд),Katalizator/oksigen datçiki (lambda zond),подтверждено вручную
С196,Sol nakoneçnik,Левый наконечник,SU-001,Наконечник рулевой тяги,Nakonechnik (sükan dartısı ucluğu),подтверждено вручную
С197,Feredo çaşka dəsti lazımdı original valeo,Оригинальный комплект: диск и корзина сцепления Valeo,TR-032,Комплект сцепления,Mufta dəsti,подтверждено вручную
С198,Vanus,VANOS,MU-050,Соленоид VANOS/VVT,Vanos (VVT solenoidi),подтверждено вручную
С200,arxa baqaj qapisina rucka lazımdır bej rengde,"Ручка задней двери багажника, бежевая",KZ-016,Ручка двери,Qapı ruçkası,подтверждено вручную
С201,Zbor rulavoy,Рулевая в сборе,SU-006,Рулевая рейка,Rulevoy reyka (dişli qutusu),подтверждено второй проверкой
С202,Zbor tavan işıqı lazmdır,Потолочный светильник в сборе,EL-024,Плафон освещения салона,Salon plafonu,подтверждено вручную
С203,Podfarnik,Подфарник,KZ-008,Поворотник,Dönmə işığı (povorotnik),подтверждено вручную
С204,Vintilyatorun datçiki,Датчик вентилятора,SO-016,Датчик температуры охлаждающей жидкости,Su temperaturu datçiki,подтверждено второй проверкой
С205,zavod yan qapı altı kantlar,Заводские боковые накладки под дверями,KZ-092,Кант порога под дверью,Qapı altı kantı,подтверждено вручную
С206,içqranati,Внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С207,Təkər yay genişləndiricisi,Расширитель колёсной арки,KZ-055,Расширитель арки / накладка бокового обвеса,Qanad genişləndiricisi (arka),подтверждено вручную
С208,klapan salnikləri,Сальники клапанов,MU-016,Маслосъёмный колпачок,Klapan salniyi,подтверждено вручную
С209,Opel insigna yarasa güzgu qapaqi,Крышка зеркала «летучая мышь» Opel Insignia,KZ-022,Корпус зеркала,Güzgü korpusu,подтверждено вручную
С210,On alin susesi (patpres),Переднее лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С211,alt zasitnik,Нижняя защита,MU-053,Защита картера двигателя,Mühərrik alt qoruyucusu,подтверждено второй проверкой
С212,Zbor benzanasos,Бензонасос в сборе,YA-001,Топливный насос,Benzin nasosu (yanacaq nasosu),подтверждено вручную
С213,Radiator krishkasi,Крышка радиатора,SO-039,Крышка радиатора,Radiator qapağı,подтверждено вручную
С215,Ön alin şüşəsi,Переднее лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С216,kardanın padrisnoyu (ara dayagı),Подвесной подшипник кардана,TR-022,Подвесной подшипник карданного вала,Kardan valının yastığı (podvesnoy yastıq),подтверждено вручную
С217,Ön fara lupalı və ya sadə bosch firması,"Передняя фара линзованная или обычная, Bosch",KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
С218,Qabağ parpres cruz 2016,Переднее лобовое стекло Cruze 2016,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С220,Porşen üzükləri,Поршневые кольца,MU-005,Поршневые кольца,Kolsa,подтверждено вручную
С221,Şatun yatağı,Шатунный вкладыш,MU-006,Вкладыши,Vkladış,подтверждено вручную
С222,Germetik,Герметик,SR-015,Герметик,Germetik,подтверждено вручную
С223,Sağ tərəf nokanecnik,Правый наконечник,SU-001,Наконечник рулевой тяги,Nakonechnik (sükan dartısı ucluğu),подтверждено вручную
С224,Chevrolet cruze 1.4 kompressor maqinit,"Chevrolet Cruze 1.4, магнит компрессора",SO-033,Муфта компрессора кондиционера,Kompressor muftası (maqnit),подтверждено вручную
С225,Vıjıçnoy feredol çaşka ilə birlikdə,"Выжимной, диск сцепления с корзиной",TR-032,Комплект сцепления,Mufta dəsti,подтверждено вручную
С226,Sol qranatai lazimdir,Левый ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С227,Nakanecnik rezini sag sol,"Резинки наконечников, правая и левая",SU-017,Пыльник наконечника,Nakonechnik pılniki,подтверждено вручную
С228,Qidravlik ğücləndiricinin (uselitelin) kompressoru,Насос гидроусилителя,SU-005,Гидроусилитель руля,Rulevoy usilitel (gidrousilitel),подтверждено вручную
С230,Su radiatorunun probkasi lazımdır,Пробка радиатора охлаждения,SO-038,Сливная пробка радиатора,Radiator probkası,подтверждено вручную
С231,Arxa park radari,Задний парктроник,AK-028,Парковочные датчики,Park datçikləri,подтверждено вручную
С232,Qlavnı silindir tormuzun,Главный тормозной цилиндр,EY-007,Главный тормозной цилиндр,Qlavnı silindir,подтверждено вручную
С234,Qabaq dönmə işıqları (sag+sol),"Передние поворотники, правый + левый",KZ-008,Поворотник,Dönmə işığı (povorotnik),подтверждено вручную
С235,boyuk qolun razvanlisi lazimdir arxasi ceken di oem kod budur 31126855743,"Сайлентблок (гидроопора) большого рычага, OEM 31126855743",AS-014,Сайлентблок рычага,Silentblok (qolun),подтверждено вручную
С237,Hyundai accent 2017 amerkanka buksir yerinin qapaqi,"Hyundai Accent 2017, крышка места буксировочного крюка",KZ-079,Заглушка буксировочного крюка,Buksir yeri qapağı,подтверждено вручную
С239,Kardan,Кардан,TR-012,Карданный вал,Kardan (ötürücü kardan valı),подтверждено вручную
С240,Arxa sol sürücü tərəfdən qranat,Задний левый ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С241,Volkswagen polo 2013 1.6  radiator fani,"VW Polo 2013 1.6, вентилятор радиатора",SO-002,Вентилятор радиатора (электровентилятор),Radiator ventilyatoru (elektroventilyator),подтверждено вручную
С242,Bezin nasos zbor,Бензонасос в сборе,YA-001,Топливный насос,Benzin nasosu (yanacaq nasosu),подтверждено вручную
С243,sol ic qranat,Левый внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С244,Salon airbaq sağ tərəf,Правая салонная подушка безопасности,EL-009,Подушка безопасности,Airbag (yastıq),подтверждено вручную
