idx,rfq_id,item_raw,original_text,old_match_status,old_external_code,v3_decision,v3_external_code,v3_confidence,v3_reason,v4_decision,v4_external_code,v4_confidence,v4_reason,v3_v4_same,candidate_count
"35","782b132e-85c4-45fa-aa7f-ded2711fe529","zbor natyajnoy","Orjinal dinoma remeni ve orjinal zbor natyajnoy","no_match","","select","MU-022","high","zbor natyajnoy means belt tensioner, matches ÐÐ°ÑÑÐ¶Ð¸ÑÐµÐ»Ñ ÑÐµÐ¼Ð½Ñ","select","MU-022","high","Natijitel (natyajnoy) matches 'zbor natyajnoy' as belt tensioner","yes","7"
"36","89c83182-d6eb-4403-84cf-18e1fc4973e1","şaravoy","Tiyaqa ucluqu,  şaravoy","single_match","AS-010","clarify","","high","Two different parts requested: 'tiyaqa ucluqu' and 'Åaravoy'","select","AS-010","high","Åaravoy means ball joint (Åaravoy candidate matches exactly)","no","11"
"37","36501629-f36e-408e-aec8-a66e635120be","Раздатки передний","Раздатки передний","single_match","RG-09","select","RG-09","high","Ð Ð°Ð·Ð´Ð°ÑÐºÐ¸ Ð¿ÐµÑÐµÐ´Ð½Ð¸Ð¹ clearly means front transfer case","select","RG-09","high","Ð Ð°Ð·Ð´Ð°ÑÐ¾ÑÐ½Ð°Ñ ÐºÐ¾ÑÐ¾Ð±ÐºÐ° (transfer case) matches 'Ð Ð°Ð·Ð´Ð°ÑÐºÐ¸ Ð¿ÐµÑÐµÐ´Ð½Ð¸Ð¹' exactly","yes","6"
"38","5b58ffac-b0ba-428b-a948-0e263d4f6542","Qabaq və arxa natlatka","Qabaq və arxa natlatka 
Chevrolet  Malibu  2012","single_match","EY-001","select","EY-001","high","Natlatka means brake pad, matches candidate 'Naklatka (ÉylÉc bÉndi)'","select","EY-001","high","Natlatka matches brake pad (ÉylÉc bÉndi) exactly","yes","22"
"39","8561970e-3b06-4828-b00c-c3e7f7ec7520","Qabaq lip","Qabaq lip","single_match","TY-005","select","TY-005","high","Qabaq lip clearly means front bumper lip (bufer alt dodaÄÄ±)","select","TY-005","high","Qabaq lip matches lip (bufer alt dodaÄÄ±) exactly","yes","12"
"40","90c9b0a3-b457-43eb-9943-d23b5f887bec","boyuk qolun razvanlisi","boyuk qolun razvanlisi lazimdir arxasi ceken di oem kod budur 31126855743","single_match","AS-013","select","AS-013","high","Razvanlisi means razvalni vtulka (camber bushing) exactly","select","AS-013","high","razvanlisi matches Razvalni vtulka (camber bushing) exactly","yes","22"
"41","29609557-004b-47df-a206-d19052966b63","Bmw m50 avtopasos","Bmw m50 avtopasos","no_match","","unknown","","high","No candidate matches 'avtopasos' (power window motor/pump) for BMW M50","unknown","","high","avtopasos means windshield wiper motor, no matching candidate present","yes","11"
"42","bdd2bad5-611b-4ba8-9c57-f531c2bca40c","Babin ve sveça","1. Qabaq arxa apornu ve naklatka
2. Sag ön faranin bloku
3. Babin ve sveça
4. N80 klapan","single_match","SR-014","clarify","","high","Two distinct parts babin and sveÃ§a requested together","clarify","","high","Two different parts: ignition coil (babin) and spark plug (sveÃ§a) mentioned","yes","12"
"43","5cb42b15-847a-48fe-aa39-79fbaeae0754","su qabı (antifriz / radiator genişlənmə çəni)","su qabı (antifriz / radiator genişlənmə çəni)
Passat b5 1.8t 2004","single_match","SO-008","select","SO-008","high","Exact match for antifriz geniÅlÉnmÉ Ã§Éni (expansion tank)","select","SO-008","high","Exact match for antifreeze expansion tank (su qabÄ±)","yes","24"
"44","bdbb7499-8da0-4b75-a8ff-10e6c9ec1392","faranin ustundeki salacka","Hyundai Sanata Fe Usa 2025 sag faranin ustundeki salacka     92152-R6000 kodu budur","single_match","KZ-088","select","KZ-088","high","Requested is headlight mounting bracket (salacka) matching candidate KZ-088","select","KZ-088","high","salacka on faranÄ±n bÉrkidici kronÅteyni (mount bracket) dÉqiq uyÄun gÉlir","yes","18"
"45","71e65ad2-c60e-4dc2-ab84-e0afbc9419eb","Ekran","Qabaq bufer
Sol fara 2 lupa
Ekran
Qabaq abirsofka
Qabaq sol terefin 2 parkradari
Faraya su vuranlar","single_match","EL-023","select","EL-023","high","Buyer requests 'Ekran' meaning multimedia screen, matches candidate EL-023 exactly","clarify","","high","Multiple candidates match 'ekran' with different meanings","no","3"
"46","d409d7b0-f978-42a2-a397-19ea733874c5","batareyalarının qiyməti?","Alışma şamlarının qiyməti? 
Təkər datçiki və batareyalarının qiyməti?
Çöl remenin şkifinin qiyməti z.o","single_match","AB-001","select","AB-001","high","batareyalarÄ±nÄ±n means battery, matches Akkumulyator (batareya) exactly","select","AB-001","high","batareyalarÄ±nÄ±n qiymÉti means battery price, matches Akkumulyator (batareya)","yes","10"
"47","b8634423-480d-4e8a-932a-7401cbcdc18e","Abs datciki","Arxa sag tekerin Abs datciki","single_match","EY-011","select","EY-011","high","Exact match for ABS sensor (ABS datÃ§iki) requested","select","EY-011","high","Exact match for ABS sensor (ABS datciki) in rear right wheel context","yes","22"
"48","7441aa9c-e759-4a2a-b218-a040f186bcc6","Arxa nikel w212 ucun","Arxa nikel w212 ucun","","","unknown","","high","Requested 'Arxa nikel' unclear; no candidate matches exact rear nickel part","select","KZ-032","high","Arxa nikel likely means rear body panel (arxa panel) for W212","no","8"
"49","7df2df56-6b8e-4bbf-a894-24c03c44a60b","N53 farsunka boz rənqdə olan","N53 farsunka boz rənqdə olan","single_match","MU-035","select","MU-035","high","Requested part is clearly 'farsunka' (fuel injector) matching candidate MU-035","select","MU-035","high","N53 farsunka clearly means fuel injector (forsunka)","yes","7"
"50","6537a249-2a69-4395-a97b-343b710d4664","patpres","Fiyaletvi patpres lazimdi","ambiguous","","select","KZ-011","high","patpres means front windshield (Ð»Ð¾Ð±Ð¾Ð²Ð¾Ðµ ÑÑÐµÐºÐ»Ð¾) exactly","select","KZ-011","high","patpres is windshield (front glass) as per candidate KZ-011","yes","8"
"51","f8ba1bec-5c31-45fd-93c7-66852fc8ea1d","sag arxa stop kuzadaki","Qabaq bufer, bufer şpilka ları (arxa qabaq), Sol qabaq pavarotnik, sag arxa stop kuzadaki","single_match","KZ-007","select","KZ-007","high","Request is for rear right stop light, matches 'Stop (arxa fÉnÉr)' exactly","select","KZ-007","high","sag arxa stop kuzadaki means right rear stop light (tail lamp)","yes","9"
"52","6fae84bf-41d4-444d-b644-da171ce58e66","Bu qapağ lazımdır nə bu rəng","Bu qapağ lazımdır nə bu rəng","no_match","","unknown","","high","Requested part is only 'qapaÄ' without context; no exact match possible","unknown","","high","Insufficient detail to identify specific cover/cap type","yes","24"
"53","cb300d97-ec4c-4c78-9a99-0169917c3773","Amartizatorlar","Sorento 2007 Amartizatorlar","single_match","AS-001","select","AS-001","high","Amartizatorlar clearly means shock absorbers, matching candidate AS-001","select","AS-001","high","Amartizatorlar means shock absorbers, matches AS-001 amortizator exactly","yes","8"
"54","2ea26288-106c-49ae-9a74-eb29afc2dab1","bakin daçik","Benzin bakin daçik ve içqranati","single_match","YA-006","unknown","","high","Requested 'bakin daÃ§ik' (fuel tank sensor) not in candidates","unknown","","high","No candidate matches 'bakin daÃ§ik' (fuel tank sensor) requested","yes","21"
"55","2206dff8-22aa-4be2-92e1-61f80e469953","Monitor 4 duyme  amerikanka","Monitor 4 duyme  amerikanka","single_match","EL-023","select","EL-023","high","Buyer requests monitor (multimedia ekranÄ±), matches candidate EL-023 exactly","select","EL-003","high","4 dÃ¼ymÉ monitor dÃ¼ymÉsi = window control button block","no","8"
"56","d0a2427b-6afe-44c6-b5cb-b4127a029331","arxa naklatka","Salam  her vaxtiniz xetir   arxa  najkadka lazimdi","single_match","EY-001","select","EY-001","high","arxa naklatka clearly means rear brake pad (ÉylÉc bÉndi)","select","EY-001","high","arxa naklatka means rear brake pad, matches candidate EY-001","yes","15"
"57","d3de77ef-c3ea-40f1-ac32-f00d0cd23af0","Fara","Fara","single_match","KZ-005","select","KZ-005","high","Buyer requests generic 'Fara' meaning main headlight only","select","KZ-005","high","Exact match for generic headlight (fara)","yes","16"
"58","fc804504-78c0-496f-80bb-b257e47738c7","Sırqalar","Sırqalar","single_match","AS-011","unknown","","high","SÄ±rqalar means earrings, no matching candidate found","unknown","","high","SÄ±rqalar unclear; no candidate matches this term's meaning","yes","20"
"59","524b718b-a331-44bd-a94f-12dde8ffc07d","əyləc diski","əyləc diski, nakladka
Yaxşı apornu ustası, yeni yondurmuşam iki gün sonra eyni şey oldu","single_match","EY-002","clarify","","high","Two different parts requested: ÉylÉc diski and nakladka","select","EY-002","high","ÉylÉc diski means brake disc, matches candidate EY-002 exactly","no","18"
"60","aa5e1907-0135-42d4-9f79-73b281badd9e","Salam Nissan Sunny 2008 ə qapı rezinleri lazımdı.Birdə Kuzov REZİNLERİ.Maşın yaponkadı.","Salam Nissan Sunny 2008 ə qapı rezinleri lazımdı.Birdə Kuzov REZİNLERİ.Maşın yaponkadı.","","","clarify","","high","Request includes two different parts: door and body seals","clarify","","high","Two different rubber seals requested: door and body (kuzov) rubber seals","yes","24"
"61","06177d05-31f7-4708-9c3e-c1f758bd646e","Qabağ bufer","Qabağ bufer","single_match","KZ-001","select","KZ-001","high","QabaÄ bufer means front bumper, matches candidate 'Bufer' exactly","select","KZ-001","high","Exact match for 'QabaÄ bufer' as front bumper","yes","19"
"62","23fea5bb-93c6-4b9c-99e3-670ea34b4d95","buferin üst hissesindeki qara plastik nomre qabinin altindaki","Changan Uni-T buferin üst hissesindeki qara plastik nomre qabinin altindaki","single_match","AK-011","select","AK-011","high","Request is for black plastic license plate holder under bumper top part","select","AK-011","high","Qara plastik nomre qabinin altindaki is number plate holder","yes","24"
"63","2deae8c8-8e59-4db0-a0a3-6dacdc184474","Sol nakoneçnik","Sol nakoneçnik","ambiguous","","select","SU-001","high","Sol nakoneÃ§nik means left tie rod end, matches SU-001 exactly","select","SU-001","high","Sol nakoneÃ§nik means left tie rod end, matches SU-001 exactly","yes","14"
"64","4d511b3c-ab59-4c19-b9a4-58ab951c3d3e","Sürətlər qutusunun platası","Sürətlər qutusunun  platası lazımdı TCU transmission control modul unit.","single_match","TR-004","unknown","","high","No candidate matches 'plata' (board/module) of transmission control unit","unknown","","high","No candidate matches 'SÃ¼rÉtlÉr qutusunun platasÄ±' (transmission control module)","yes","14"
"65","58e56dea-7a32-4c86-8708-5980447e4b83","Sifeçaların başliq muşduyler","Sifeçaların başliq muşduyler","no_match","","select","EG-009","high","Buyer requests 'mÃ¼ÅdÃ¼ylÉr' (nozzles), matches 'SÉsboÄucu ucluÄu (mÃ¼ÅtÃ¼k)' nozzle","unknown","","high","No candidate matches 'SifeÃ§alarÄ±n baÅliq muÅduyler' (wiper head nozzles)","no","16"
"66","5246a7f0-ecc8-48a3-a459-670184cd091a","Sag silecek rezini","Sag silecek rezini","","","select","AK-010","high","Sag silecek rezini means right wiper rubber, matches candidate AK-010 exactly","select","AK-010","high","Exact match for 'Sag silecek rezini' as wiper blade rubber","yes","16"
"67","f65dfee5-2e24-45f2-93cb-2dc54556fae9","çöl qranat","Qabaq çöl qranat piknik
04437-47033","single_match","AS-008","select","AS-008","high","Ã§Ã¶l qranat means outer CV joint (SHRUS) exactly matches AS-008","select","AS-008","high","Ã§Ã¶l qranat matches exactly to Qranat (SHRUS) AS-008","yes","7"
"68","8165e37b-b731-49df-b740-e02075e16488","Sag qranat","Hunday santafe Sag qranat","ambiguous","","select","AS-008","high","Sag qranat means right CV joint (Qranat), matches AS-008 exactly","select","AS-008","high","Sag qranat matches Qranat (SHRUS) exactly","yes","9"
"69","ec988729-e6b9-43f2-87bf-da084da89d57","sürətlər qutusunun yastıqlarının","Salam mühərrik yastıqları və sürətlər qutusunun yastıqlarının qiymətin bilmək isdəyirəm . Orjinal.
Hundai santa fe 2010 2.0 dizel","single_match","MU-018","select","MU-018","high","Requested 'sÃ¼rÉtlÉr qutusunun yastÄ±qlarÄ±' matches 'Karopka yastÄ±ÄÄ±' exactly","select","MU-018","high","Exact match for transmission mount (sÃ¼rÉtlÉr qutusunun yastÄ±ÄÄ±)","yes","15"
"70","5c4583fc-cd17-455b-95d0-c4a5da78dac2","Baqaj qapısı","Qabag bufer ver arxa baqaj neciyedir ?","single_match","KZ-033","select","KZ-033","high","Buyer requests 'Baqaj qapÄ±sÄ±' exactly matching candidate KZ-033","select","KZ-033","high","Qabag bufer ver arxa baqaj neciyedir asks for rear trunk lid","yes","24"
"71","648436e0-c5ad-4dfd-819a-43aa0c1c3aa6","Katalizator datçik sensoru ve ewap","Katalizator datçik sensoru ve ewap","","","clarify","","high","Request contains two different parts: sensor and evap; must split request","clarify","","high","Two different parts: katalizator datÃ§ik sensoru and evap; candidates separate","yes","24"
"72","ecacc515-916d-4bc2-bb67-346dfc179e62","abs datçiki","Qabaq sol tekerin abs datçiki","single_match","EY-011","select","EY-011","high","Exact match for ABS sensor (abs datÃ§iki) requested for front left wheel","select","EY-011","high","Exact match for ABS sensor (abs datÃ§iki) requested","yes","22"
"73","7cb1a926-e778-4a4c-8bfe-8f85dd03c479","Toyota pirus qabaq amazator","Toyota pirus qabaq amazator","single_match","AS-001","select","AS-001","high","Buyer requests front shock absorber (amortizator), matches candidate AS-001 exactly","select","AS-001","high","Toyota Prius front shock absorber matches amortizator candidate","yes","24"
"74","123a7ed2-b489-47f6-8097-a4e8221f9a2f","radiator barmaqlığ","Qabaq sol fara və radiator barmaqlığ","single_match","KZ-028","select","KZ-028","high","Exact match for 'radiator barmaqlÄ±Ä' as radiator grille","select","KZ-028","high","Exact match for radiator barmaqlÄ±ÄÄ± (radiator grille)","yes","17"
"75","17c903eb-4816-48cd-a61c-75433df816a5","Dizel Yanacaq filtiri","Dizel Yanacaq filtiri orginal","single_match","SR-010","select","SR-010","high","Exact match for diesel fuel filter requested and candidate is fuel filter","select","SR-010","high","Dizel yanacaq filtiri matches fuel filter exactly","yes","24"
"76","a34d6263-8701-4031-98dd-cd3aae70e983","Ön nakladkalar","Ön nakladkalar","single_match","EY-001","select","EY-001","high","Ãn nakladkalar means front brake pads, matches candidate EY-001 exactly","select","EY-001","high","Ãn nakladkalar means front brake pads matching EY-001","yes","16"
"77","d0ebaf09-3198-409d-9e89-d4ff9ab8c9d7","SÜKAN LENTASI","SÜKAN LENTASI ELANTRA","single_match","EL-010","select","EL-010","high","SÃKAN LENTASI means steering wheel clock spring exactly matching EL-010","select","EL-010","high","SÃ¼kan lentasÄ± means clock spring, matches candidate EL-010 exactly","yes","12"
"78","bc268d0f-d8fc-4ec4-91aa-0edbad4a075e","ON PATPLES","ON PATPLES","","","select","KZ-011","high","On patples clearly means front windshield (patpres) matching candidate KZ-011","select","KZ-011","high","On patples matches windshield (Ã¶n ÅÃ¼ÅÉ) exactly","yes","10"
"79","9040fb1a-61be-4537-990e-f6a05805d538","Arxa naklatkasi","Arxa naklatkasi qiymeti","single_match","EY-001","select","EY-001","high","Arxa naklatkasi clearly means rear brake pad (ÉylÉc bÉndi).","select","EY-001","high","Arxa naklatkasi means rear brake pad, matches candidate EY-001","yes","24"
"80","1ff89f4a-7f4f-4e48-8535-c767dfcd9c4f","qabaq parpresin kantınin alt rezini","Salam qabaq parpresin kantınin alt rezini lazımdır naziy rezini.birdə parpres rezinleri bu maşına aid.Qiymət münasib olsun.","no_match","","select","KZ-011","high","Requested part is front windshield (patpres) rubber, matches candidate KZ-011","select","KZ-011","high","Parpres rezini matches windshield (patpres) rubber seal","yes","20"
"81","09b6c7a8-da2b-493f-acea-8d2275206833","Hava filtri","Hava filtri","single_match","SR-003","select","SR-003","high","Exact match for 'Hava filtri' (air filter) in name and synonyms","select","SR-003","high","Exact match for 'Hava filtri' (air filter) in candidates","yes","22"
"82","90438300-4ab9-453d-ae5e-681fa8bb0479","bufer şpilka ları (arxa qabaq)","Qabaq bufer, bufer şpilka ları (arxa qabaq), Sol qabaq pavarotnik, sag arxa stop kuzadaki","single_match","AS-027","unknown","","high","No candidate matches 'bufer Åpilka larÄ±' (bumper studs) exactly","select","AS-027","high","Exact match for 'bufer Åpilka larÄ±' is wheel studs (tÉkÉr ÅpilkasÄ±)","no","15"
"83","d9af3257-7df8-4ef6-993c-c4465d55a0a0","Abirsofka","Hyundai sonata 2015 hibrid 2 motor.Abirsofka lazımdı","single_match","KZ-003","select","KZ-003","high","Abirsofka matches bufer Ã¼zlÃ¼yÃ¼ (abrisofka) exactly","select","KZ-003","high","Abirsofka matches bufer Ã¼zlÃ¼yÃ¼ (abrisofka) cover/trim","yes","16"
"84","583fed10-abfa-4296-a215-8a3069f68a7c","vanusun daçiki","1.Kalenvalın daçiki
2.vanusun daçiki
3.matorun üstündə zbor olur, üst kırışqa deyilir,
Zəhmət olmasa bunların arjinal qiymətlərini mənə deyin!","single_match","MU-050","select","MU-040","high","vanusun daÃ§iki means Vanos sensor, but candidate MU-040 is Kalenval datÃ§iki requested","select","MU-050","high","vanusun daÃ§iki matches VANOS solenoid (VVT solenoidi) exactly","no","18"
