external_code,category,category_slug,name_az,name_ru,synonyms,synonyms_count,name_terms,name_terms_count,requires_side,requires_direction,requires_location,is_active,created_at
MU-036,EVAP/дроссель,fuel-throttle,EGR klapanı,Клапан EGR,egr klapani; egrklapani; клапанegr,3,EGR klapanı; Клапан EGR; egr klapani; egrklapani; клапанegr,5,No,No,No,Yes,2026-07-21 14:10:44
MU-082,EVAP/дроссель,fuel-throttle,Boğaz rezini (zaslonkanın),Резина дроссельного узла (патрубок впуска),патрубок впуска; zaslonkanın; zaslonkanin; bogaz rezini zaslonkanin; патрубоквпуска,5,Boğaz rezini (zaslonkanın); Резина дроссельного узла (патрубок впуска); boğaz rezini zaslonkanın; резина дроссельного узла патрубок впуска; патрубок впуска; zaslonkanın; zaslonkanin; bogaz rezini zaslonkanin; патрубоквпуска,9,No,No,No,Yes,2026-07-21 14:10:44
YA-007,EVAP/дроссель,fuel-throttle,EVAP sistemi/klapanı (yanacaq kömürü),Система EVAP (адсорбер),адсорбер; evap klapanı; evap sistemi; yanacaq kömürü; evap klapani; yanacaq komuru; evap sistemi klapani yanacaq komuru; evapklapani; evapsistemi; yanacaqkomuru,10,EVAP sistemi/klapanı (yanacaq kömürü); Система EVAP (адсорбер); evap sistemi klapanı yanacaq kömürü; система evap адсорбер; адсорбер; evap klapanı; evap sistemi; yanacaq kömürü; evap klapani; yanacaq komuru; evap sistemi klapani yanacaq komuru; evapklapani; evapsistemi; yanacaqkomuru,14,No,No,No,Yes,2026-07-21 14:10:44
MU-072,EVAP/дроссель,fuel-throttle,Qaz trosu (akselerator trosu),Трос газа (акселератора),акселератора; akselerator trosu; akseleratortrosu,3,Qaz trosu (akselerator trosu); Трос газа (акселератора); qaz trosu akselerator trosu; трос газа акселератора; акселератора; akselerator trosu; akseleratortrosu,7,No,No,No,Yes,2026-07-21 14:10:44
MU-092,EVAP/дроссель,fuel-throttle,EGR borusu,Трубка EGR,egr borusu; eqr borusu; трубка egr; egrborusu; eqrborusu; трубкаegr,6,egr borusu; eqr borusu; трубка egr; egrborusu; eqrborusu; трубкаegr,6,No,No,No,Yes,2026-08-22 12:15:42
AB-001,АКБ/клеммы,batteries,Akkumulyator (batareya),Аккумулятор,batareya; akkumulyatorbatareya,2,Akkumulyator (batareya); Аккумулятор; akkumulyator batareya; batareya; akkumulyatorbatareya,5,No,No,No,Yes,2026-07-21 14:10:44
EL-030,АКБ/клеммы,batteries,Hibrid batareyası,Гибридная батарея высоковольтная,hibrid batareyasi; hibridbatareyasi,2,Hibrid batareyası; Гибридная батарея высоковольтная; hibrid batareyasi; hibridbatareyasi,4,No,No,No,Yes,2026-07-21 14:10:44
AB-003,АКБ/клеммы,batteries,Akkumulyator kleması,Клемма аккумулятора,akkumulyator klemasi; akkumulyatorklemasi; клеммааккумулятора,3,Akkumulyator kleması; Клемма аккумулятора; akkumulyator klemasi; akkumulyatorklemasi; клеммааккумулятора,5,No,No,No,Yes,2026-07-21 14:10:44
AB-004,АКБ/клеммы,batteries,Akkumulyator bərkitmə skobası (planka),Крепление аккумулятора (планка/скоба),планка; планка скоба; скоба; planka; akkumulyator berkitme skobasi planka; планкаскоба,6,Akkumulyator bərkitmə skobası (planka); Крепление аккумулятора (планка/скоба); akkumulyator bərkitmə skobası planka; крепление аккумулятора планка скоба; планка; планка скоба; скоба; planka; akkumulyator berkitme skobasi planka; планкаскоба,10,No,No,No,Yes,2026-07-21 14:10:44
AB-002,АКБ/клеммы,batteries,Akkumulyator qoruyucusu (əsas sigorta),Предохранитель АКБ (силовой),силовой; əsas sigorta; esas sigorta; akkumulyator qoruyucusu esas sigorta; esassigorta,5,Akkumulyator qoruyucusu (əsas sigorta); Предохранитель АКБ (силовой); akkumulyator qoruyucusu əsas sigorta; предохранитель акб силовой; силовой; əsas sigorta; esas sigorta; akkumulyator qoruyucusu esas sigorta; esassigorta,9,No,No,No,Yes,2026-07-21 14:10:44
AS-001,Амортизаторы/опоры,suspension-shocks,Amortizator,Амортизатор,amartizator; amarizator; amartizatoru; amartizatorun,4,Amortizator; Амортизатор; amartizator; amarizator; amartizatoru; amartizatorun,6,Yes,Yes,No,Yes,2026-07-21 14:10:44
TY-006,Амортизаторы/опоры,suspension-shocks,Coilover (sport asma dəsti),Койловеры (спортивная подвеска),спортивная подвеска; sport asma dəsti; sport asma desti; coilover sport asma desti; спортивнаяподвеска,5,Coilover (sport asma dəsti); Койловеры (спортивная подвеска); coilover sport asma dəsti; койловеры спортивная подвеска; спортивная подвеска; sport asma dəsti; sport asma desti; coilover sport asma desti; спортивнаяподвеска,9,No,Yes,No,Yes,2026-07-21 14:10:44
AS-022,Амортизаторы/опоры,suspension-shocks,Pnevma kompressoru,Компрессор пневмоподвески,hava asqı kompressoru; hava asqi kompressoru; pnevmakompressoru; компрессорпневмоподвески,4,Pnevma kompressoru; Компрессор пневмоподвески; hava asqı kompressoru; hava asqi kompressoru; pnevmakompressoru; компрессорпневмоподвески,6,No,No,No,Yes,2026-07-21 14:10:44
TY-017,Амортизаторы/опоры,suspension-shocks,Lift kit (asma yüksəldici),Лифт-кит (комплект поднятия подвески),lift kit; lift kit asma yüksəldici; лифт кит комплект поднятия подвески; lift kit asma yukseldici,4,Lift kit (asma yüksəldici); Лифт-кит (комплект поднятия подвески); lift kit; lift kit asma yüksəldici; лифт кит комплект поднятия подвески; lift kit asma yukseldici,6,No,No,No,Yes,2026-08-22 12:03:18
AS-002,Амортизаторы/опоры,suspension-shocks,Amortizator dayaq yastığı (opora),Опора амортизатора (верхняя),верхняя; opora; amartizator paduşqası; amartizatorun paduşqası; amartizator yastigi; amortizator paduskasi; amortizator yastığı; amortizator üst yatağı; amarzatorun üst dartçiki; amortizatorun üst dartçiki; amartizator padusqasi; amartizatorun padusqasi; amortizator yastigi; amortizator ust yatagi; amarzatorun ust dartciki; amortizatorun ust dartciki; amortizator dayaq yastigi opora; amartizatorpadusqasi; amartizatorunpadusqasi; amartizatoryastigi; amortizatorpaduskasi; amortizatoryastigi,22,Amortizator dayaq yastığı (opora); Опора амортизатора (верхняя); amortizator dayaq yastığı opora; опора амортизатора верхняя; верхняя; opora; amartizator paduşqası; amartizatorun paduşqası; amartizator yastigi; amortizator paduskasi; amortizator yastığı; amortizator üst yatağı; amarzatorun üst dartçiki; amortizatorun üst dartçiki; amartizator padusqasi; amartizatorun padusqasi; amortizator yastigi; amortizator ust yatagi; amarzatorun ust dartciki; amortizatorun ust dartciki; amortizator dayaq yastigi opora; amartizatorpadusqasi; amartizatorunpadusqasi; amartizatoryastigi; amortizatorpaduskasi; amortizatoryastigi,26,Yes,Yes,No,Yes,2026-07-21 14:10:44
AS-005,Амортизаторы/опоры,suspension-shocks,Otboynik,Отбойник хода сжатия,,0,Otboynik; Отбойник хода сжатия,2,No,Yes,No,Yes,2026-07-21 14:10:44
AS-031,Амортизаторы/опоры,suspension-shocks,Pnevmoasqının platası (idarəetmə bloku),Плата/блок управления пневмоподушки,плата управления пневмоподушки; блок управления пневмоподушки; idarəetmə bloku; idareetme bloku; pnevmoasqinin platasi idareetme bloku; idareetmebloku,6,Pnevmoasqının platası (idarəetmə bloku); Плата/блок управления пневмоподушки; pnevmoasqının platası idarəetmə bloku; плата блок управления пневмоподушки; плата управления пневмоподушки; блок управления пневмоподушки; idarəetmə bloku; idareetme bloku; pnevmoasqinin platasi idareetme bloku; idareetmebloku,10,No,No,No,Yes,2026-07-21 14:10:44
AS-021,Амортизаторы/опоры,suspension-shocks,Pnevmopodveska (hava balonu),Пневмоподушка,Pnevmopodveska (hava yastığı); hava balonu; pnevmopoduşka; пневмоподушки; amortizator balonu; pnevmopodveska hava yastigi; pnevmopoduska; havabalonu; amortizatorbalonu,9,Pnevmopodveska (hava balonu); Пневмоподушка; pnevmopodveska hava balonu; pnevmopodveska hava yastığı; Pnevmopodveska (hava yastığı); hava balonu; pnevmopoduşka; пневмоподушки; amortizator balonu; pnevmopodveska hava yastigi; pnevmopoduska; havabalonu; amortizatorbalonu,13,No,Yes,No,Yes,2026-07-21 14:10:44
AS-003,Амортизаторы/опоры,suspension-shocks,Amortizator dayaq podşipniki,Подшипник опоры амортизатора,amortizator podşipniki; opornının pativniki; opornin pativniki; amortizator podsipniki; oporninin pativniki; amortizator dayaq podsipniki; amortizatorpodsipniki; opornininpativniki; oporninpativniki,9,Amortizator dayaq podşipniki; Подшипник опоры амортизатора; amortizator podşipniki; opornının pativniki; opornin pativniki; amortizator podsipniki; oporninin pativniki; amortizator dayaq podsipniki; amortizatorpodsipniki; opornininpativniki; oporninpativniki,11,Yes,Yes,No,Yes,2026-07-21 14:10:44
AS-024,Амортизаторы/опоры,suspension-shocks,Amortizator pılniki,Пыльник амортизатора,amortizator örtüyü; amortizator ortuyu; amortizator pilniki; amortizatorortuyu; amortizatorpilniki; пыльникамортизатора,6,Amortizator pılniki; Пыльник амортизатора; amortizator örtüyü; amortizator ortuyu; amortizator pilniki; amortizatorortuyu; amortizatorpilniki; пыльникамортизатора,8,Yes,Yes,No,Yes,2026-07-21 14:10:44
TY-013,Амортизаторы/опоры,suspension-shocks,Sport yay/koilover,Спортивная пружина/койловер,спортивная койловер; спортивная пружина; sport koilover; sport yay; sport yayı; sport yayi; спортивнаякойловер; спортивнаяпружина; sportkoilover; sportyay; sportyayi,11,Sport yay/koilover; Спортивная пружина/койловер; sport yay koilover; спортивная пружина койловер; спортивная койловер; спортивная пружина; sport koilover; sport yay; sport yayı; sport yayi; спортивнаякойловер; спортивнаяпружина; sportkoilover; sportyay; sportyayi,15,Yes,Yes,No,Yes,2026-07-21 14:10:44
SR-011,Антифриз/технические жидкости,consumables-fluids,AdBlue (dizel egzoz mayesi),AdBlue (жидкость для очистки выхлопа дизеля),жидкость для очистки выхлопа дизеля; dizel egzoz mayesi,2,AdBlue (dizel egzoz mayesi); AdBlue (жидкость для очистки выхлопа дизеля); adblue dizel egzoz mayesi; adblue жидкость для очистки выхлопа дизеля; жидкость для очистки выхлопа дизеля; dizel egzoz mayesi,6,No,No,No,Yes,2026-07-21 14:10:44
SR-007,Антифриз/технические жидкости,consumables-fluids,Antifriz,Антифриз (охлаждающая жидкость),охлаждающая жидкость; охлаждающаяжидкость,2,Antifriz; Антифриз (охлаждающая жидкость); антифриз охлаждающая жидкость; охлаждающая жидкость; охлаждающаяжидкость,5,No,No,No,Yes,2026-07-21 14:10:44
SR-015,Антифриз/технические жидкости,consumables-fluids,Germetik,Герметик,,0,Germetik; Герметик,2,No,No,No,Yes,2026-08-28 10:30:19
SR-009,Антифриз/технические жидкости,consumables-fluids,Rulavoy mayesi (PSF),Жидкость ГУР,psf; жидкостьгур,2,Rulavoy mayesi (PSF); Жидкость ГУР; rulavoy mayesi psf; psf; жидкостьгур,5,No,No,No,Yes,2026-07-21 14:10:44
SR-012,Антифриз/технические жидкости,consumables-fluids,Şüşəyuyan maye (nezamerzayka),Жидкость омывателя стекла (незамерзайка),незамерзайка; nezamerzayka; suseyuyan maye nezamerzayka,3,Şüşəyuyan maye (nezamerzayka); Жидкость омывателя стекла (незамерзайка); şüşəyuyan maye nezamerzayka; жидкость омывателя стекла незамерзайка; незамерзайка; nezamerzayka; suseyuyan maye nezamerzayka,7,No,No,No,Yes,2026-07-21 14:10:44
SR-013,Антифриз/технические жидкости,consumables-fluids,Kondisioner kompressoru yağı,Масло для компрессора кондиционера,kondisioner kompressoru yagi,1,Kondisioner kompressoru yağı; Масло для компрессора кондиционера; kondisioner kompressoru yagi,3,No,No,No,Yes,2026-07-21 14:10:44
SR-008,Антифриз/технические жидкости,consumables-fluids,Əyləc mayesi (tormoz mayesi/DOT4),Тормозная жидкость,dot4; tormoz mayesi; tormoz mayesi dot4; eylec mayesi tormoz mayesi dot4; tormozmayesi; тормознаяжидкость,6,Əyləc mayesi (tormoz mayesi/DOT4); Тормозная жидкость; əyləc mayesi tormoz mayesi dot4; dot4; tormoz mayesi; tormoz mayesi dot4; eylec mayesi tormoz mayesi dot4; tormozmayesi; тормознаяжидкость,9,No,No,No,Yes,2026-07-21 14:10:44
KZ-042,Багажник,body-trunk,Baqaj amortizatoru,Амортизатор/упор багажника,амортизатор багажника; упор багажника; амортизаторбагажника; упорбагажника; baqajamortizatoru,5,Baqaj amortizatoru; Амортизатор/упор багажника; амортизатор упор багажника; амортизатор багажника; упор багажника; амортизаторбагажника; упорбагажника; baqajamortizatoru,8,No,No,No,Yes,2026-07-21 14:10:44
KZ-050,Багажник,body-trunk,Baqaj kilidi,Замок крышки багажника,baqajkilidi,1,Baqaj kilidi; Замок крышки багажника; baqajkilidi,3,No,No,No,Yes,2026-07-21 14:10:44
KZ-033,Багажник,body-trunk,Baqaj qapısı,Крышка багажника,baqaj; baqaj kapotu; baqaj qapağı; baqaj qapagi; baqaj qapisi; baqajkapotu; baqajqapagi; baqajqapisi; крышкабагажника,9,Baqaj qapısı; Крышка багажника; baqaj; baqaj kapotu; baqaj qapağı; baqaj qapagi; baqaj qapisi; baqajkapotu; baqajqapagi; baqajqapisi; крышкабагажника,11,No,No,No,Yes,2026-07-21 14:10:44
KZ-051,Багажник,body-trunk,Baqaj qapağı menteşəsi,Петля крышки багажника,baqaj qapagi mentesesi,1,Baqaj qapağı menteşəsi; Петля крышки багажника; baqaj qapagi mentesesi,3,No,Yes,No,Yes,2026-07-21 14:10:44
KZ-034,Багажник,body-trunk,Baqaj daxili plastikləri,Пластик обшивки багажника,yük yerinin üzlüyü; yük yeri plastiki; yük yerinin plastiki; baqaj rezinləri; baqaj rezinleri; bagajın örtülən yerindeki plastik; arxa baqaj tok sistemi; qapıların və baqajın rezinləri; baqaj qapaginin; baqaj aynasının amortizatoru; baqaj qapisinin hidrovlik qollari; yuk yerinin uzluyu; yuk yeri plastiki; yuk yerinin plastiki; bagajin ortulen yerindeki plastik; qapilarin ve baqajin rezinleri; baqaj aynasinin amortizatoru; baqaj daxili plastikleri; baqajrezinleri; baqajqapaginin,20,Baqaj daxili plastikləri; Пластик обшивки багажника; yük yerinin üzlüyü; yük yeri plastiki; yük yerinin plastiki; baqaj rezinləri; baqaj rezinleri; bagajın örtülən yerindeki plastik; arxa baqaj tok sistemi; qapıların və baqajın rezinləri; baqaj qapaginin; baqaj aynasının amortizatoru; baqaj qapisinin hidrovlik qollari; yuk yerinin uzluyu; yuk yeri plastiki; yuk yerinin plastiki; bagajin ortulen yerindeki plastik; qapilarin ve baqajin rezinleri; baqaj aynasinin amortizatoru; baqaj daxili plastikleri; baqajrezinleri; baqajqapaginin,22,No,No,No,Yes,2026-07-21 14:10:44
KZ-093,Багажник,body-trunk,Baqaj rezin buferi (otboynik),Резиновый упор (отбойник) крышки багажника,,0,Baqaj rezin buferi (otboynik); Резиновый упор (отбойник) крышки багажника; baqaj rezin buferi otboynik; резиновый упор отбойник крышки багажника,4,Yes,No,No,Yes,2026-08-29 06:53:07
KZ-070,Багажник,body-trunk,Baqaj jaluzu (pərdəsi),Шторка/жалюзи багажника,шторка багажника; жалюзи багажника; pərdəsi; perdesi; baqaj jaluzu perdesi; шторкабагажника; жалюзибагажника,7,Baqaj jaluzu (pərdəsi); Шторка/жалюзи багажника; baqaj jaluzu pərdəsi; шторка жалюзи багажника; шторка багажника; жалюзи багажника; pərdəsi; perdesi; baqaj jaluzu perdesi; шторкабагажника; жалюзибагажника,11,No,No,No,Yes,2026-07-21 14:10:44
YA-023,Бак/датчик уровня,fuel-tank,Yanacaq çəninin iç qapağı,Внутренняя крышка топливного бака (горловины),горловины; yanacaq çəninin iç qapağı; yanacaq doldurma boğazının iç qapağı; benzin bakının iç qapağı; внутренняя крышка бензобака; внутренняя крышка топливного бака; yanacaq ceninin ic qapagi; yanacaq doldurma bogazinin ic qapagi; benzin bakinin ic qapagi,9,Внутренняя крышка топливного бака (горловины); внутренняя крышка топливного бака горловины; горловины; yanacaq çəninin iç qapağı; yanacaq doldurma boğazının iç qapağı; benzin bakının iç qapağı; внутренняя крышка бензобака; внутренняя крышка топливного бака; yanacaq ceninin ic qapagi; yanacaq doldurma bogazinin ic qapagi; benzin bakinin ic qapagi,11,No,No,No,Yes,2026-07-21 14:10:44
YA-025,Бак/датчик уровня,fuel-tank,Yanacaq çəni təzyiq sensoru (EVAP təzyiqi),Датчик давления топливного бака (система EVAP),Yanacaq çəni təzyiq sensoru (EVAP); система evap; evap təzyiqi; evap sensoru; yanacaq ceni tezyiq sensoru evap; evap tezyiqi; yanacaq ceni tezyiq sensoru evap tezyiqi; системаevap; evaptezyiqi; evapsensoru,10,Yanacaq çəni təzyiq sensoru (EVAP təzyiqi); Датчик давления топливного бака (система EVAP); yanacaq çəni təzyiq sensoru evap təzyiqi; датчик давления топливного бака система evap; yanacaq çəni təzyiq sensoru evap; Yanacaq çəni təzyiq sensoru (EVAP); система evap; evap təzyiqi; evap sensoru; yanacaq ceni tezyiq sensoru evap; evap tezyiqi; yanacaq ceni tezyiq sensoru evap tezyiqi; системаevap; evaptezyiqi; evapsensoru,15,No,No,No,Yes,2026-07-21 14:10:44
YA-006,Бак/датчик уровня,fuel-tank,Yanacaq datçiki (səviyyə),Датчик уровня топлива,səviyyə; seviyye; yanacaq datciki seviyye,3,Yanacaq datçiki (səviyyə); Датчик уровня топлива; yanacaq datçiki səviyyə; səviyyə; seviyye; yanacaq datciki seviyye,6,No,No,No,Yes,2026-07-21 14:10:44
YA-005,Бак/датчик уровня,fuel-tank,Benzin bakı qapağı,Крышка топливного бака,крышка топливного бака; замок топливного бака; benzin bakı qapağı; benzin bakı zamoku; dizel bakının qapagı; benzin baki qapagi; benzin baki zamoku; dizel bakinin qapagi,8,крышка топливного бака; замок топливного бака; benzin bakı qapağı; benzin bakı zamoku; dizel bakının qapagı; benzin baki qapagi; benzin baki zamoku; dizel bakinin qapagi,8,No,No,No,Yes,2026-07-21 14:10:44
YA-008,Бак/датчик уровня,fuel-tank,Paplavok (yanacaq səviyyə üzgəci),Поплавок топливного бака,yanacaq səviyyə üzgəci; paplavok; yanacaq seviyye uzgeci; paplavok yanacaq seviyye uzgeci,4,Paplavok (yanacaq səviyyə üzgəci); Поплавок топливного бака; paplavok yanacaq səviyyə üzgəci; yanacaq səviyyə üzgəci; paplavok; yanacaq seviyye uzgeci; paplavok yanacaq seviyye uzgeci,7,No,No,No,Yes,2026-07-21 14:10:44
YA-004,Бак/датчик уровня,fuel-tank,Benzin bakı,Топливный бак,yanacaq çəni; benzin çəni lazımdı; dizel bak qapağı; yanacaq ceni; benzin ceni lazimdi; dizel bak qapagi; benzin baki; yanacaqceni; benzinbaki; топливныйбак,10,Benzin bakı; Топливный бак; yanacaq çəni; benzin çəni lazımdı; dizel bak qapağı; yanacaq ceni; benzin ceni lazimdi; dizel bak qapagi; benzin baki; yanacaqceni; benzinbaki; топливныйбак,12,No,No,No,Yes,2026-07-21 14:10:44
AS-028,Балка/мост,suspension-axle,Tam ötürücü mufta aktuatoru,Актуатор муфты полного привода,tam oturucu mufta aktuatoru,1,Tam ötürücü mufta aktuatoru; Актуатор муфты полного привода; tam oturucu mufta aktuatoru,3,No,No,No,Yes,2026-07-21 14:10:44
AS-017,Балка/мост,suspension-axle,Arxa balka,Балка задней подвески,arxabalka,1,Arxa balka; Балка задней подвески; arxabalka,3,No,No,No,Yes,2026-07-21 14:10:44
AS-019,Балка/мост,suspension-axle,Difer,Дифференциал,,0,Difer; Дифференциал,2,No,No,No,Yes,2026-07-21 14:10:44
AS-018,Балка/мост,suspension-axle,Most (körpü),Мост в сборе,zbor; most korpu; mostkorpu,3,Most (körpü); Мост в сборе; most körpü; zbor; most korpu; mostkorpu,6,No,No,No,Yes,2026-07-21 14:10:44
AS-016,Балка/мост,suspension-axle,Traves (podramnik),Подрамник,podramnik; travespodramnik,2,Traves (podramnik); Подрамник; traves podramnik; podramnik; travespodramnik,5,No,No,No,Yes,2026-07-21 14:10:44
KZ-004,Бамперы,body-bumpers,Bufer daxili köpük (absorber),Абсорбер бампера,absorber; bufer penası; bufer penasi; bufer daxili kopuk absorber; buferpenasi; абсорбербампера,6,Bufer daxili köpük (absorber); Абсорбер бампера; bufer daxili köpük absorber; absorber; bufer penası; bufer penasi; bufer daxili kopuk absorber; buferpenasi; абсорбербампера,9,No,Yes,No,Yes,2026-07-21 14:10:44
KZ-001,Бамперы,body-bumpers,Bufer,Бампер,bamper; bampper; bufer dəsti; set buferi; bumper; bufer plasması; bufer plastması; parlaq plasmas buferi; rəngli buferi; hybrid buferi; buferin xromu; buferin üst hissəsi; alt və üst buferi; alt üst buferi; buder; bufer xromu; m5 buferi; bufer desti; bufer plasmasi; bufer plastmasi; rengli buferi; buferin ust hissesi; alt ve ust buferi; alt ust buferi; buferdesti; setbuferi; buferplasmasi; buferplastmasi; renglibuferi; hybridbuferi; buferinxromu; buferxromu; m5buferi,33,Bufer; Бампер; bamper; bampper; bufer dəsti; set buferi; bumper; bufer plasması; bufer plastması; parlaq plasmas buferi; rəngli buferi; hybrid buferi; buferin xromu; buferin üst hissəsi; alt və üst buferi; alt üst buferi; buder; bufer xromu; m5 buferi; bufer desti; bufer plasmasi; bufer plastmasi; rengli buferi; buferin ust hissesi; alt ve ust buferi; alt ust buferi; buferdesti; setbuferi; buferplasmasi; buferplastmasi; renglibuferi; hybridbuferi; buferinxromu; buferxromu; m5buferi,35,No,Yes,No,Yes,2026-07-21 14:10:44
